I'm obstinant and will use OG datadog_breeds,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
BULLDOG,1156,1093,1102,1387,1197,1317,1351,1139,928,1191
ROTTWEILER,922,1089,1162,1264,1299,1176,1183,1022,1010,1128
FRENCH BULLDOG,66,143,202,380,413,521,550,748,842,1128
STAFFORDSHIRE BULL TERRIER,803,1032,1031,981,1001,872,774,860,884,870
RETRIEVER (GOLDEN),934,953,967,654,706,757,772,799,652,839
RETRIEVER (LABRADOR),1221,1134,1024,895,855,774,849,815,742,802
BULL TERRIER,1009,961,869,1032,964,889,882,668,657,752
DACHSHUND (MIN LONG HAIRED),103,138,139,193,278,314,307,324,463,558
POMERANIAN,495,486,465,599,647,560,542,507,437,479
BELGIAN SHEPHERD (MALINOIS),47,85,63,100,219,238,412,428,447,427
MINIATURE SCHNAUZER,982,664,549,585,491,583,620,581,552,403
GERMAN SHEPHERD DOG STOCKHAAR,5,130,208,276,213,148,229,169,286,389
RHODESIAN RIDGEBACK,414,407,448,397,357,226,343,272,193,358
BEAGLE,656,638,522,535,473,438,424,444,358,333
BOXER,150,223,173,219,135,#N/A,313,265,209,273
BULLMASTIFF,361,341,331,291,316,250,355,242,263,258
GERMAN SHORTHAIRED POINTER,114,141,141,127,222,134,148,205,159,238
AUSTRALIAN SHEPHERD,90,96,112,101,86,81,106,122,77,200
DACHSHUND MIN. SMOOTH HAIRED,272,340,224,256,270,197,178,199,170,157
WELSH CORGI (PEMBROKE),75,57,70,83,78,103,86,86,83,147
